category;title;price;available_quantity;sold_quantity;permalink
google home mini;Google Nest Mini 2 Asistente Virtual Tiza Fact A-b;7565.65;1;5;https://articulo.mercadolibre.com.ar/MLA-829590505-google-nest-mini-2-asistente-virtual-tiza-fact-a-b-_JM
google home mini;Smart Tv Kit: Google Chromecast 3 Y Google Home Mini;9291;1;0;https://articulo.mercadolibre.com.ar/MLA-900674340-smart-tv-kit-google-chromecast-3-y-google-home-mini-_JM
google home mini;Google Home Mini Asistente Virtual / Spotify Youtube Netflix;6400;1;4;https://articulo.mercadolibre.com.ar/MLA-762283141-google-home-mini-asistente-virtual-spotify-youtube-netflix-_JM
google home mini;Google Home Mini Parlante Original Gris Cuotas Ade;7499;1;0;https://articulo.mercadolibre.com.ar/MLA-873235618-google-home-mini-parlante-original-gris-cuotas-ade-_JM
google home mini;Google Home Mini Parlante Asistente Virtual Nuevo Sin Caja;4499;500;3;https://articulo.mercadolibre.com.ar/MLA-880463160-google-home-mini-parlante-asistente-virtual-nuevo-sin-caja-_JM
google home mini;Google Home Mini Asistente Virtual Spotify Netflix Youtube;4299;1;0;https://articulo.mercadolibre.com.ar/MLA-899284958-google-home-mini-asistente-virtual-spotify-netflix-youtube-_JM
google home mini;Soporte Stand Para Google Home Mini (impreso En 3d);1600;1;0;https://articulo.mercadolibre.com.ar/MLA-865181034-soporte-stand-para-google-home-mini-impreso-en-3d-_JM
google home mini;Google Home Mini Wifi Gris Modelo Ga00216;7859.47;1;0;https://articulo.mercadolibre.com.ar/MLA-818591814-google-home-mini-wifi-gris-modelo-ga00216-_JM
google home mini;Google Home Mini Ga-00210-us _s;4320;1;0;https://articulo.mercadolibre.com.ar/MLA-902591183-google-home-mini-ga-00210-us-s-_JM
google home mini;Google Home Mini Parlante Español Ok Google Android + Cuotas;7099;1;1;https://articulo.mercadolibre.com.ar/MLA-869796473-google-home-mini-parlante-espanol-ok-google-android-cuotas-_JM
google home mini;Google Home Mini Asistente Virtual Youtube Spotify Sin Caja;4499;500;5;https://articulo.mercadolibre.com.ar/MLA-880459663-google-home-mini-asistente-virtual-youtube-spotify-sin-caja-_JM
google home mini;Google Home Mini Parlante Asistente Virtual Charcoal Premium;7979.99;1;0;https://articulo.mercadolibre.com.ar/MLA-886635296-google-home-mini-parlante-asistente-virtual-charcoal-premium-_JM
google home mini;Google Home Mini Asistente Virtual Spotify Youtube Español;4799;1;0;https://articulo.mercadolibre.com.ar/MLA-897110711-google-home-mini-asistente-virtual-spotify-youtube-espanol-_JM
